,"source ref des","test point ref des","pad name","pad number","x","y","rotation","smt","side","net","socket","probe","class"
0,"TP1","TP1",1,1,19.75,24.25,180,1,"TOP","+VINF","R100-2W","P100","ground_height+power_height_dz"
1,"TP2","TP2",1,1,5,21,180,1,"TOP","+13","R100-2W","P100","ground_height+power_height_dz"
2,"TP3","TP3",1,1,-9.25,18.5,180,1,"TOP","+5","R100-2W","P100","ground_height+power_height_dz"
3,"TP4","TP4",1,1,2.7,35.7,180,1,"TOP","GND","R100-2W","P100","ground_height"
4,"TP5","TP5",1,1,-16.25,7.25,0,1,"TOP","+3.3","R100-2W","P100","ground_height+power_height_dz"
5,"TP6","TP6",1,1,-9.3,35.7,180,1,"TOP","RX+","R100-2W","P100","ground_height+signal_height_dz"
6,"TP7","TP7",1,1,-12.3,35.7,180,1,"TOP","RX-","R100-2W","P100","ground_height+signal_height_dz"
7,"TP8","TP8",1,1,-15.3,35.7,180,1,"TOP","TX+","R100-2W","P100","ground_height+signal_height_dz"
8,"TP9","TP9",1,1,-18.3,35.7,180,1,"TOP","TX-","R100-2W","P100","ground_height+signal_height_dz"
9,"TP10","TP10",1,1,1.5,-13.25,180,1,"TOP","MW0","R100-2W","P100","ground_height+signal_height_dz"
10,"TP11","TP11",1,1,-10.25,-11.5,180,1,"TOP","MW1","R100-2W","P100","ground_height+signal_height_dz"
11,"TP12","TP12",1,1,-3.3,35.7,180,1,"TOP","ANALOG0","R100-2W","P100","ground_height+signal_height_dz"
12,"TP13","TP13",1,1,-6.3,35.7,180,1,"TOP","ANALOG1","R100-2W","P100","ground_height+signal_height_dz"
13,"TP14","TP14",1,1,-0.3,35.7,180,1,"TOP","+VIn","R100-2W","P100","ground_height+power_height_dz"
14,"J4","TP15",2,2,24.25,-2.75,0,0,"TOP","+3.3","R100-2W","P100","ground_height+power_height_dz"
15,"J4","TP16",3,3,24.25,-0.21,0,0,"TOP","~{ISP}{slash}RTS0","R100-2W","P100","ground_height+signal_height_dz"
16,"J4","TP17",4,4,24.25,2.33,0,0,"TOP","~{RESET1}","R100-2W","P100","ground_height+signal_height_dz"
17,"J4","TP18",5,5,24.25,4.87,0,0,"TOP","~{RESET0}","R100-2W","P100","ground_height+signal_height_dz"
18,"J4","TP19",6,6,24.25,7.41,0,0,"TOP","RXD0","R100-2W","P100","ground_height+signal_height_dz"
19,"J4","TP20",7,7,24.25,9.95,0,0,"TOP","GND","R100-2W","P100","ground_height"
20,"J4","TP21",8,8,24.25,12.49,0,0,"TOP","TXD0","R100-2W","P100","ground_height+signal_height_dz"
21,"J4","TP22",9,9,24.25,15.03,0,0,"TOP","+VIn","R100-2W","P100","ground_height+power_height_dz"
22,"J2","TP23",2,2,-21.44,-8.45,270,1,"TOP","SWDIO1","R100-2W","P100","ground_height+signal_height_dz"
23,"J2","TP24",3,3,-20.17,-12.35,270,1,"TOP","GND","R100-2W","P100","ground_height"
24,"J2","TP25",4,4,-20.17,-8.45,270,1,"TOP","SWCLK1","R100-2W","P100","ground_height+signal_height_dz"
25,"J8","TP26",1,1,18.2,-8.5,180,1,"TOP","MCLK","R100-2W","P100","ground_height+signal_height_dz"
26,"J8","TP27",2,2,19.725,-7.025,180,1,"TOP","GND","R100-2W","P100","ground_height"
